"Statistic Label","Census Year","Administrative Counties 2019","Age","Sex","UNIT","VALUE"
"Population","2022","Carlow County Council","Age 0-4","Males","Number","1800"
"Population","2022","Carlow County Council","Age 0-4","Females","Number","1736"
"Population","2022","Carlow County Council","Age 0-4","Both Sexes","Number","3536"
"Population","2022","Carlow County Council","Age 5-9","Males","Number","2063"
"Population","2022","Carlow County Council","Age 5-9","Females","Number","2026"
"Population","2022","Carlow County Council","Age 5-9","Both Sexes","Number","4089"
"Population","2022","Carlow County Council","Age 10-14","Males","Number","2400"
"Population","2022","Carlow County Council","Age 10-14","Females","Number","2287"
"Population","2022","Carlow County Council","Age 10-14","Both Sexes","Number","4687"
"Population","2022","Carlow County Council","Age 15-19","Males","Number","2209"
"Population","2022","Carlow County Council","Age 15-19","Females","Number","2114"
"Population","2022","Carlow County Council","Age 15-19","Both Sexes","Number","4323"
"Population","2022","Carlow County Council","Age 20-24","Males","Number","2000"
"Population","2022","Carlow County Council","Age 20-24","Females","Number","1781"
"Population","2022","Carlow County Council","Age 20-24","Both Sexes","Number","3781"
"Population","2022","Carlow County Council","Age 25-29","Males","Number","1666"
"Population","2022","Carlow County Council","Age 25-29","Females","Number","1626"
"Population","2022","Carlow County Council","Age 25-29","Both Sexes","Number","3292"
"Population","2022","Carlow County Council","Age 30-34","Males","Number","1804"
"Population","2022","Carlow County Council","Age 30-34","Females","Number","1910"
"Population","2022","Carlow County Council","Age 30-34","Both Sexes","Number","3714"
"Population","2022","Carlow County Council","Age 35-39","Males","Number","2153"
"Population","2022","Carlow County Council","Age 35-39","Females","Number","2377"
"Population","2022","Carlow County Council","Age 35-39","Both Sexes","Number","4530"
"Population","2022","Carlow County Council","Age 40-44","Males","Number","2444"
"Population","2022","Carlow County Council","Age 40-44","Females","Number","2463"
"Population","2022","Carlow County Council","Age 40-44","Both Sexes","Number","4907"
"Population","2022","Carlow County Council","Age 45-49","Males","Number","2227"
"Population","2022","Carlow County Council","Age 45-49","Females","Number","2325"
"Population","2022","Carlow County Council","Age 45-49","Both Sexes","Number","4552"
"Population","2022","Carlow County Council","Age 50-54","Males","Number","2065"
"Population","2022","Carlow County Council","Age 50-54","Females","Number","2060"
"Population","2022","Carlow County Council","Age 50-54","Both Sexes","Number","4125"
"Population","2022","Carlow County Council","Age 55-59","Males","Number","1883"
"Population","2022","Carlow County Council","Age 55-59","Females","Number","1923"
"Population","2022","Carlow County Council","Age 55-59","Both Sexes","Number","3806"
"Population","2022","Carlow County Council","Age 60-64","Males","Number","1636"
"Population","2022","Carlow County Council","Age 60-64","Females","Number","1686"
"Population","2022","Carlow County Council","Age 60-64","Both Sexes","Number","3322"
"Population","2022","Carlow County Council","Age 65-69","Males","Number","1443"
"Population","2022","Carlow County Council","Age 65-69","Females","Number","1468"
"Population","2022","Carlow County Council","Age 65-69","Both Sexes","Number","2911"
"Population","2022","Carlow County Council","Age 70-74","Males","Number","1242"
"Population","2022","Carlow County Council","Age 70-74","Females","Number","1239"
"Population","2022","Carlow County Council","Age 70-74","Both Sexes","Number","2481"
"Population","2022","Carlow County Council","Age 75-79","Males","Number","916"
"Population","2022","Carlow County Council","Age 75-79","Females","Number","923"
"Population","2022","Carlow County Council","Age 75-79","Both Sexes","Number","1839"
"Population","2022","Carlow County Council","Age 80-84","Males","Number","530"
"Population","2022","Carlow County Council","Age 80-84","Females","Number","655"
"Population","2022","Carlow County Council","Age 80-84","Both Sexes","Number","1185"
"Population","2022","Carlow County Council","Age 85 and over","Males","Number","341"
"Population","2022","Carlow County Council","Age 85 and over","Females","Number","547"
"Population","2022","Carlow County Council","Age 85 and over","Both Sexes","Number","888"
"Population","2022","Carlow County Council","Total","Males","Number","30822"
"Population","2022","Carlow County Council","Total","Females","Number","31146"
"Population","2022","Carlow County Council","Total","Both Sexes","Number","61968"
"Population","2022","Dublin City Council","Age 0-4","Males","Number","14904"
"Population","2022","Dublin City Council","Age 0-4","Females","Number","14042"
"Population","2022","Dublin City Council","Age 0-4","Both Sexes","Number","28946"
"Population","2022","Dublin City Council","Age 5-9","Males","Number","14883"
"Population","2022","Dublin City Council","Age 5-9","Females","Number","14473"
"Population","2022","Dublin City Council","Age 5-9","Both Sexes","Number","29356"
"Population","2022","Dublin City Council","Age 10-14","Males","Number","15306"
"Population","2022","Dublin City Council","Age 10-14","Females","Number","14995"
"Population","2022","Dublin City Council","Age 10-14","Both Sexes","Number","30301"
"Population","2022","Dublin City Council","Age 15-19","Males","Number","15181"
"Population","2022","Dublin City Council","Age 15-19","Females","Number","15088"
"Population","2022","Dublin City Council","Age 15-19","Both Sexes","Number","30269"
"Population","2022","Dublin City Council","Age 20-24","Males","Number","22028"
"Population","2022","Dublin City Council","Age 20-24","Females","Number","23879"
"Population","2022","Dublin City Council","Age 20-24","Both Sexes","Number","45907"
"Population","2022","Dublin City Council","Age 25-29","Males","Number","29364"
"Population","2022","Dublin City Council","Age 25-29","Females","Number","29694"
"Population","2022","Dublin City Council","Age 25-29","Both Sexes","Number","59058"
"Population","2022","Dublin City Council","Age 30-34","Males","Number","29767"
"Population","2022","Dublin City Council","Age 30-34","Females","Number","29466"
"Population","2022","Dublin City Council","Age 30-34","Both Sexes","Number","59233"
"Population","2022","Dublin City Council","Age 35-39","Males","Number","26139"
"Population","2022","Dublin City Council","Age 35-39","Females","Number","25556"
"Population","2022","Dublin City Council","Age 35-39","Both Sexes","Number","51695"
"Population","2022","Dublin City Council","Age 40-44","Males","Number","23246"
"Population","2022","Dublin City Council","Age 40-44","Females","Number","22909"
"Population","2022","Dublin City Council","Age 40-44","Both Sexes","Number","46155"
"Population","2022","Dublin City Council","Age 45-49","Males","Number","19117"
"Population","2022","Dublin City Council","Age 45-49","Females","Number","18791"
"Population","2022","Dublin City Council","Age 45-49","Both Sexes","Number","37908"
"Population","2022","Dublin City Council","Age 50-54","Males","Number","17493"
"Population","2022","Dublin City Council","Age 50-54","Females","Number","17622"
