"Statistic Label","Census Year","County","Age","Sex","UNIT","VALUE"
"Population","2016","Carlow","Age 0-4","Males","Number","2057"
"Population","2016","Carlow","Age 0-4","Females","Number","1999"
"Population","2016","Carlow","Age 0-4","Both Sexes","Number","4056"
"Population","2016","Carlow","Age 5-9","Males","Number","2251"
"Population","2016","Carlow","Age 5-9","Females","Number","2169"
"Population","2016","Carlow","Age 5-9","Both Sexes","Number","4420"
"Population","2016","Carlow","Age 10-14","Males","Number","2097"
"Population","2016","Carlow","Age 10-14","Females","Number","2038"
"Population","2016","Carlow","Age 10-14","Both Sexes","Number","4135"
"Population","2016","Carlow","Age 15-19","Males","Number","1944"
"Population","2016","Carlow","Age 15-19","Females","Number","1742"
"Population","2016","Carlow","Age 15-19","Both Sexes","Number","3686"
"Population","2016","Carlow","Age 20-24","Males","Number","1747"
"Population","2016","Carlow","Age 20-24","Females","Number","1577"
"Population","2016","Carlow","Age 20-24","Both Sexes","Number","3324"
"Population","2016","Carlow","Age 25-29","Males","Number","1670"
"Population","2016","Carlow","Age 25-29","Females","Number","1718"
"Population","2016","Carlow","Age 25-29","Both Sexes","Number","3388"
"Population","2016","Carlow","Age 30-34","Males","Number","2020"
"Population","2016","Carlow","Age 30-34","Females","Number","2116"
"Population","2016","Carlow","Age 30-34","Both Sexes","Number","4136"
"Population","2016","Carlow","Age 35-39","Males","Number","2212"
"Population","2016","Carlow","Age 35-39","Females","Number","2286"
"Population","2016","Carlow","Age 35-39","Both Sexes","Number","4498"
"Population","2016","Carlow","Age 40-44","Males","Number","2150"
"Population","2016","Carlow","Age 40-44","Females","Number","2147"
"Population","2016","Carlow","Age 40-44","Both Sexes","Number","4297"
"Population","2016","Carlow","Age 45-49","Males","Number","1960"
"Population","2016","Carlow","Age 45-49","Females","Number","1954"
"Population","2016","Carlow","Age 45-49","Both Sexes","Number","3914"
"Population","2016","Carlow","Age 50-54","Males","Number","1804"
"Population","2016","Carlow","Age 50-54","Females","Number","1807"
"Population","2016","Carlow","Age 50-54","Both Sexes","Number","3611"
"Population","2016","Carlow","Age 55-59","Males","Number","1626"
"Population","2016","Carlow","Age 55-59","Females","Number","1620"
"Population","2016","Carlow","Age 55-59","Both Sexes","Number","3246"
"Population","2016","Carlow","Age 60-64","Males","Number","1436"
"Population","2016","Carlow","Age 60-64","Females","Number","1428"
"Population","2016","Carlow","Age 60-64","Both Sexes","Number","2864"
"Population","2016","Carlow","Age 65-69","Males","Number","1253"
"Population","2016","Carlow","Age 65-69","Females","Number","1214"
"Population","2016","Carlow","Age 65-69","Both Sexes","Number","2467"
"Population","2016","Carlow","Age 70-74","Males","Number","906"
"Population","2016","Carlow","Age 70-74","Females","Number","982"
"Population","2016","Carlow","Age 70-74","Both Sexes","Number","1888"
"Population","2016","Carlow","Age 75-79","Males","Number","649"
"Population","2016","Carlow","Age 75-79","Females","Number","706"
"Population","2016","Carlow","Age 75-79","Both Sexes","Number","1355"
"Population","2016","Carlow","Age 80-84","Males","Number","399"
"Population","2016","Carlow","Age 80-84","Females","Number","509"
"Population","2016","Carlow","Age 80-84","Both Sexes","Number","908"
"Population","2016","Carlow","Age 85 and over","Males","Number","284"
"Population","2016","Carlow","Age 85 and over","Females","Number","455"
"Population","2016","Carlow","Age 85 and over","Both Sexes","Number","739"
"Population","2016","Carlow","Total","Males","Number","28465"
"Population","2016","Carlow","Total","Females","Number","28467"
"Population","2016","Carlow","Total","Both Sexes","Number","56932"
"Population","2016","Cavan","Age 0-4","Males","Number","2889"
"Population","2016","Cavan","Age 0-4","Females","Number","2836"
"Population","2016","Cavan","Age 0-4","Both Sexes","Number","5725"
"Population","2016","Cavan","Age 5-9","Males","Number","3239"
"Population","2016","Cavan","Age 5-9","Females","Number","3062"
"Population","2016","Cavan","Age 5-9","Both Sexes","Number","6301"
"Population","2016","Cavan","Age 10-14","Males","Number","2865"
"Population","2016","Cavan","Age 10-14","Females","Number","2731"
"Population","2016","Cavan","Age 10-14","Both Sexes","Number","5596"
"Population","2016","Cavan","Age 15-19","Males","Number","2643"
"Population","2016","Cavan","Age 15-19","Females","Number","2572"
"Population","2016","Cavan","Age 15-19","Both Sexes","Number","5215"
"Population","2016","Cavan","Age 20-24","Males","Number","1837"
"Population","2016","Cavan","Age 20-24","Females","Number","1688"
"Population","2016","Cavan","Age 20-24","Both Sexes","Number","3525"
"Population","2016","Cavan","Age 25-29","Males","Number","1956"
"Population","2016","Cavan","Age 25-29","Females","Number","2033"
"Population","2016","Cavan","Age 25-29","Both Sexes","Number","3989"
"Population","2016","Cavan","Age 30-34","Males","Number","2599"
"Population","2016","Cavan","Age 30-34","Females","Number","2821"
"Population","2016","Cavan","Age 30-34","Both Sexes","Number","5420"
"Population","2016","Cavan","Age 35-39","Males","Number","2829"
"Population","2016","Cavan","Age 35-39","Females","Number","2984"
"Population","2016","Cavan","Age 35-39","Both Sexes","Number","5813"
"Population","2016","Cavan","Age 40-44","Males","Number","2776"
"Population","2016","Cavan","Age 40-44","Females","Number","2717"
"Population","2016","Cavan","Age 40-44","Both Sexes","Number","5493"
"Population","2016","Cavan","Age 45-49","Males","Number","2682"
"Population","2016","Cavan","Age 45-49","Females","Number","2609"
"Population","2016","Cavan","Age 45-49","Both Sexes","Number","5291"
"Population","2016","Cavan","Age 50-54","Males","Number","2548"
"Population","2016","Cavan","Age 50-54","Females","Number","2415"
"Population","2016","Cavan","Age 50-54","Both Sexes","Number","4963"
"Population","2016","Cavan","Age 55-59","Males","Number","2286"
"Population","2016","Cavan","Age 55-59","Females","Number","2182"
"Population","2016","Cavan","Age 55-59","Both Sexes","Number","4468"
"Population","2016","Cavan","Age 60-64","Males","Number","2024"
"Population","2016","Cavan","Age 60-64","Females","Number","1889"
"Population","2016","Cavan","Age 60-64","Both Sexes","Number","3913"
"Population","2016","Cavan","Age 65-69","Males","Number","1796"
"Population","2016","Cavan","Age 65-69","Females","Number","1649"
"Population","2016","Cavan","Age 65-69","Both Sexes","Number","3445"
"Population","2016","Cavan","Age 70-74","Males","Number","1345"
"Population","2016","Cavan","Age 70-74","Females","Number","1226"
"Population","2016","Cavan","Age 70-74","Both Sexes","Number","2571"
"Population","2016","Cavan","Age 75-79","Males","Number","923"
"Population","2016","Cavan","Age 75-79","Females","Number","895"
"Population","2016","Cavan","Age 75-79","Both Sexes","Number","1818"
"Population","2016","Cavan","Age 80-84","Males","Number","644"
"Population","2016","Cavan","Age 80-84","Females","Number","755"
"Population","2016","Cavan","Age 80-84","Both Sexes","Number","1399"
"Population","2016","Cavan","Age 85 and over","Males","Number","449"
"Population","2016","Cavan","Age 85 and over","Females","Number","782"
"Population","2016","Cavan","Age 85 and over","Both Sexes","Number","1231"
"Population","2016","Cavan","Total","Males","Number","38330"
"Population","2016","Cavan","Total","Females","Number","37846"
"Population","2016","Cavan","Total","Both Sexes","Number","76176"
"Population","2016","Clare","Age 0-4","Males","Number","4011"
"Population","2016","Clare","Age 0-4","Females","Number","3890"
"Population","2016","Clare","Age 0-4","Both Sexes","Number","7901"
"Population","2016","Clare","Age 5-9","Males","Number","4599"
"Population","2016","Clare","Age 5-9","Females","Number","4394"
"Population","2016","Clare","Age 5-9","Both Sexes","Number","8993"
"Population","2016","Clare","Age 10-14","Males","Number","4373"
"Population","2016","Clare","Age 10-14","Females","Number","4305"
"Population","2016","Clare","Age 10-14","Both Sexes","Number","8678"
"Population","2016","Clare","Age 15-19","Males","Number","3924"
"Population","2016","Clare","Age 15-19","Females","Number","3986"
"Population","2016","Clare","Age 15-19","Both Sexes","Number","7910"
"Population","2016","Clare","Age 20-24","Males","Number","2985"
"Population","2016","Clare","Age 20-24","Females","Number","2768"
"Population","2016","Clare","Age 20-24","Both Sexes","Number","5753"
"Population","2016","Clare","Age 25-29","Males","Number","2792"
"Population","2016","Clare","Age 25-29","Females","Number","2838"
"Population","2016","Clare","Age 25-29","Both Sexes","Number","5630"
"Population","2016","Clare","Age 30-34","Males","Number","3579"
"Population","2016","Clare","Age 30-34","Females","Number","3872"
"Population","2016","Clare","Age 30-34","Both Sexes","Number","7451"
"Population","2016","Clare","Age 35-39","Males","Number","4302"
"Population","2016","Clare","Age 35-39","Females","Number","4577"
"Population","2016","Clare","Age 35-39","Both Sexes","Number","8879"
"Population","2016","Clare","Age 40-44","Males","Number","4420"
"Population","2016","Clare","Age 40-44","Females","Number","4698"
"Population","2016","Clare","Age 40-44","Both Sexes","Number","9118"
"Population","2016","Clare","Age 45-49","Males","Number","4348"
"Population","2016","Clare","Age 45-49","Females","Number","4392"
"Population","2016","Clare","Age 45-49","Both Sexes","Number","8740"
"Population","2016","Clare","Age 50-54","Males","Number","3992"
"Population","2016","Clare","Age 50-54","Females","Number","4071"
"Population","2016","Clare","Age 50-54","Both Sexes","Number","8063"
"Population","2016","Clare","Age 55-59","Males","Number","3749"
"Population","2016","Clare","Age 55-59","Females","Number","3658"
"Population","2016","Clare","Age 55-59","Both Sexes","Number","7407"
"Population","2016","Clare","Age 60-64","Males","Number","3292"
"Population","2016","Clare","Age 60-64","Females","Number","3347"
"Population","2016","Clare","Age 60-64","Both Sexes","Number","6639"
"Population","2016","Clare","Age 65-69","Males","Number","3097"
"Population","2016","Clare","Age 65-69","Females","Number","3059"
"Population","2016","Clare","Age 65-69","Both Sexes","Number","6156"
"Population","2016","Clare","Age 70-74","Males","Number","2290"
"Population","2016","Clare","Age 70-74","Females","Number","2285"
"Population","2016","Clare","Age 70-74","Both Sexes","Number","4575"
"Population","2016","Clare","Age 75-79","Males","Number","1464"
"Population","2016","Clare","Age 75-79","Females","Number","1597"
"Population","2016","Clare","Age 75-79","Both Sexes","Number","3061"
"Population","2016","Clare","Age 80-84","Males","Number","954"
"Population","2016","Clare","Age 80-84","Females","Number","1123"
"Population","2016","Clare","Age 80-84","Both Sexes","Number","2077"
"Population","2016","Clare","Age 85 and over","Males","Number","614"
"Population","2016","Clare","Age 85 and over","Females","Number","1172"
"Population","2016","Clare","Age 85 and over","Both Sexes","Number","1786"
"Population","2016","Clare","Total","Males","Number","58785"
"Population","2016","Clare","Total","Females","Number","60032"
"Population","2016","Clare","Total","Both Sexes","Number","118817"
"Population","2016","Cork City","Age 0-4","Males","Number","3194"
"Population","2016","Cork City","Age 0-4","Females","Number","3111"
"Population","2016","Cork City","Age 0-4","Both Sexes","Number","6305"
"Population","2016","Cork City","Age 5-9","Males","Number","3055"
"Population","2016","Cork City","Age 5-9","Females","Number","2975"
"Population","2016","Cork City","Age 5-9","Both Sexes","Number","6030"
"Population","2016","Cork City","Age 10-14","Males","Number","2860"
"Population","2016","Cork City","Age 10-14","Females","Number","2745"
"Population","2016","Cork City","Age 10-14","Both Sexes","Number","5605"
"Population","2016","Cork City","Age 15-19","Males","Number","3898"
"Population","2016","Cork City","Age 15-19","Females","Number","4028"
"Population","2016","Cork City","Age 15-19","Both Sexes","Number","7926"
"Population","2016","Cork City","Age 20-24","Males","Number","6152"
"Population","2016","Cork City","Age 20-24","Females","Number","6565"
"Population","2016","Cork City","Age 20-24","Both Sexes","Number","12717"
"Population","2016","Cork City","Age 25-29","Males","Number","5798"
"Population","2016","Cork City","Age 25-29","Females","Number","5655"
"Population","2016","Cork City","Age 25-29","Both Sexes","Number","11453"
"Population","2016","Cork City","Age 30-34","Males","Number","5647"
"Population","2016","Cork City","Age 30-34","Females","Number","5485"
"Population","2016","Cork City","Age 30-34","Both Sexes","Number","11132"
"Population","2016","Cork City","Age 35-39","Males","Number","4756"
"Population","2016","Cork City","Age 35-39","Females","Number","4503"
"Population","2016","Cork City","Age 35-39","Both Sexes","Number","9259"
"Population","2016","Cork City","Age 40-44","Males","Number","3892"
"Population","2016","Cork City","Age 40-44","Females","Number","3651"
"Population","2016","Cork City","Age 40-44","Both Sexes","Number","7543"
"Population","2016","Cork City","Age 45-49","Males","Number","3570"
"Population","2016","Cork City","Age 45-49","Females","Number","3447"
"Population","2016","Cork City","Age 45-49","Both Sexes","Number","7017"
"Population","2016","Cork City","Age 50-54","Males","Number","3669"
"Population","2016","Cork City","Age 50-54","Females","Number","3854"
"Population","2016","Cork City","Age 50-54","Both Sexes","Number","7523"
"Population","2016","Cork City","Age 55-59","Males","Number","3509"
"Population","2016","Cork City","Age 55-59","Females","Number","3675"
"Population","2016","Cork City","Age 55-59","Both Sexes","Number","7184"
"Population","2016","Cork City","Age 60-64","Males","Number","3069"
"Population","2016","Cork City","Age 60-64","Females","Number","3167"
"Population","2016","Cork City","Age 60-64","Both Sexes","Number","6236"
"Population","2016","Cork City","Age 65-69","Males","Number","2755"
"Population","2016","Cork City","Age 65-69","Females","Number","2969"
"Population","2016","Cork City","Age 65-69","Both Sexes","Number","5724"
"Population","2016","Cork City","Age 70-74","Males","Number","2280"
"Population","2016","Cork City","Age 70-74","Females","Number","2626"
"Population","2016","Cork City","Age 70-74","Both Sexes","Number","4906"
"Population","2016","Cork City","Age 75-79","Males","Number","1720"
"Population","2016","Cork City","Age 75-79","Females","Number","2324"
"Population","2016","Cork City","Age 75-79","Both Sexes","Number","4044"
"Population","2016","Cork City","Age 80-84","Males","Number","1176"
"Population","2016","Cork City","Age 80-84","Females","Number","1743"
"Population","2016","Cork City","Age 80-84","Both Sexes","Number","2919"
"Population","2016","Cork City","Age 85 and over","Males","Number","722"
"Population","2016","Cork City","Age 85 and over","Females","Number","1412"
"Population","2016","Cork City","Age 85 and over","Both Sexes","Number","2134"
"Population","2016","Cork City","Total","Males","Number","61722"
"Population","2016","Cork City","Total","Females","Number","63935"
"Population","2016","Cork City","Total","Both Sexes","Number","125657"
"Population","2016","Cork County","Age 0-4","Males","Number","15974"
"Population","2016","Cork County","Age 0-4","Females","Number","15363"
"Population","2016","Cork County","Age 0-4","Both Sexes","Number","31337"
"Population","2016","Cork County","Age 5-9","Males","Number","17570"
"Population","2016","Cork County","Age 5-9","Females","Number","16845"
"Population","2016","Cork County","Age 5-9","Both Sexes","Number","34415"
"Population","2016","Cork County","Age 10-14","Males","Number","15331"
"Population","2016","Cork County","Age 10-14","Females","Number","14508"
"Population","2016","Cork County","Age 10-14","Both Sexes","Number","29839"
"Population","2016","Cork County","Age 15-19","Males","Number","13830"
"Population","2016","Cork County","Age 15-19","Females","Number","13090"
"Population","2016","Cork County","Age 15-19","Both Sexes","Number","26920"
"Population","2016","Cork County","Age 20-24","Males","Number","10072"
"Population","2016","Cork County","Age 20-24","Females","Number","9711"
"Population","2016","Cork County","Age 20-24","Both Sexes","Number","19783"
"Population","2016","Cork County","Age 25-29","Males","Number","10201"
"Population","2016","Cork County","Age 25-29","Females","Number","10789"
"Population","2016","Cork County","Age 25-29","Both Sexes","Number","20990"
"Population","2016","Cork County","Age 30-34","Males","Number","13602"
"Population","2016","Cork County","Age 30-34","Females","Number","15667"
"Population","2016","Cork County","Age 30-34","Both Sexes","Number","29269"
"Population","2016","Cork County","Age 35-39","Males","Number","16832"
"Population","2016","Cork County","Age 35-39","Females","Number","18054"
"Population","2016","Cork County","Age 35-39","Both Sexes","Number","34886"
"Population","2016","Cork County","Age 40-44","Males","Number","16490"
"Population","2016","Cork County","Age 40-44","Females","Number","16653"
"Population","2016","Cork County","Age 40-44","Both Sexes","Number","33143"
"Population","2016","Cork County","Age 45-49","Males","Number","15219"
"Population","2016","Cork County","Age 45-49","Females","Number","15119"
"Population","2016","Cork County","Age 45-49","Both Sexes","Number","30338"
"Population","2016","Cork County","Age 50-54","Males","Number","13851"
"Population","2016","Cork County","Age 50-54","Females","Number","13580"
"Population","2016","Cork County","Age 50-54","Both Sexes","Number","27431"
"Population","2016","Cork County","Age 55-59","Males","Number","11978"
"Population","2016","Cork County","Age 55-59","Females","Number","11774"
